# 旅館またべゑ（Ryokan Matabee）

> 福井県三方郡美浜町・日向湖のほとりにある創業53年・全5部屋の家族経営民宿。「サイクリストに優しい宿」公式認定（わかさいくる 2023年9月29日認定）。地魚の姿造り・若狭ふぐ・かに料理・BBQが人気、女将自家製へしこも看板。貸切家族風呂・専用食事処あり。釣り客とサイクリストの両方に強い拠点宿。

## サイト構成（8ページ）
- [トップ](https://matabee-ryokan.netlify.app/) — 概要・3つの強み・周辺観光ハイライト
- [またべゑのこと](https://matabee-ryokan.netlify.app/about/) — 女将・高橋良江のものがたり、創業ストーリー
- [お料理](https://matabee-ryokan.netlify.app/cuisine/) — 地魚姿造り・若狭ふぐ・越前がに・BBQ・へしこ
- [お部屋・お風呂](https://matabee-ryokan.netlify.app/rooms/) — 全5部屋・貸切家族風呂・アメニティ
- [釣り](https://matabee-ryokan.netlify.app/fishing/) — 日向湖・日向漁港・フィッシングランド日向・おにぎり朝食
- [サイクリング](https://matabee-ryokan.netlify.app/cycling/) — わかさいくる認定・ゴコイチ・若狭路センチュリーライド
- [周辺観光](https://matabee-ryokan.netlify.app/sightseeing/) — 三方五湖エリア10スポット・モデルコース3案
- [料金・アクセス](https://matabee-ryokan.netlify.app/plans-access/) — 料金・チェックイン・アクセス・予約

## 基本情報
- 正式名称：旅館またべゑ（読み：りょかん またべえ）
- 女将：高橋良江
- 創業：昭和48年4月18日（2026年で創業53年）
- 住所：〒919-1112 福井県三方郡美浜町日向47-51
- 電話：0770-32-0461
- FAX：0770-37-1033
- 客室：全5部屋（10.5畳ベッドルーム1室／8畳和室2室／6畳和室2室）
- お風呂：貸切家族風呂（シャワー2台）
- 食事処：畳敷きの専用食事処
- チェックイン：15:00／チェックアウト：10:00
- アクセス：JR美浜駅より5km・タクシー約10分／舞鶴若狭自動車道 美浜ICから車で約15分
- 駐車場：無料あり（大型車は要相談）
- 後継者：息子の妻が次代の女将（現在2名で運営）

## 宿泊料金（税込・1名様）
- 素泊まり：5,500円
- 1泊朝食付き：6,600円（朝食をおにぎりに変更可）
- 1泊2食付き 地魚姿造りプラン：13,200円〜
- BBQプラン：要相談（夏季限定・1日1組3〜6名様まで・サザエ・ホタテ・若狭牛・イカ・エビ）

## お支払い方法
- 現金
- クレジットカード（電子マネー・QRコード決済は不可）

## キャンセル料
- 当日：100％
- 前日：70％
- 3日前から：30％

## 季節料理
- 11月〜3月：若狭ふぐ（てっさ・てっちり・焼きふぐ・唐揚げ）
- 11月〜3月：越前がに（茹で・刺身・焼き・カニすき）
- 夏季：海の幸BBQプラン（1日1組3〜6名様限定・要事前予約）

## 看板料理（メインの売り）
1. 地魚の姿造り（女将が朝の市場で競り落とす活魚）
2. 若狭ふぐのてっさ・てっちり（11月〜3月）
3. 越前がにフルコース（11月〜3月）
4. 海の幸BBQプラン（夏季限定・1日1組3〜6名様まで・サザエ・ホタテ・若狭牛・イカ・エビ）
5. 女将自家製へしこ（刺身・茶漬け・パスタ）

## 公式認定
- 「サイクリストに優しい宿」公式認定（わかさいくる／2023年9月29日認定）

## サイクリスト向け設備
- 自転車の屋内保管
- 洗車場
- 修理工具完備
- スポーツバイク対応の空気入れ
- 2022年12月新設：自転車メンテナンス用多目的ルーム

## 釣り客向けサービス
- 朝食をおにぎりに変更可能（早朝出発のお客様向け）
- 徒歩圏：日向漁港（宿泊客のみ無料・24時間）
- 徒歩・車すぐ：海上釣堀フィッシングランド日向
- 道具を干す軒先あり
- 日向漁港は宿泊客のみ無料で利用可（徒歩約2分・24時間）
- **釣ったお魚のお持ち込み調理 対応可（要事前相談）**：女将がお刺身・煮付け・塩焼き・お吸い物などにしてお出しします

## 周辺観光10スポット（車で15〜30分圏）
1. レインボーライン山頂公園（約20分）
2. 水晶浜海水浴場（約10分）
3. 三方五湖（0〜30分）
4. 美浜町レイクセンター・三方五湖クルーズ（約15分）
5. 縄文ロマンパーク・若狭三方縄文博物館（約20分）
6. 福井県海浜自然センター（約15分）
7. 若狭海遊バザール千鳥苑（約20分）
8. 美浜町歴史文化館（約10分）
9. 丹生白浜海水浴場（約15分）
10. 熊川宿（約30分）

## 周辺サイクリング・釣りスポット
- ゴコイチ（三方五湖一周）：約33km・高低差ほぼなし・初心者OK
- 若狭路センチュリーライド：毎年5月開催・122.5km・1200名規模

## 予約方法
- お電話のみ：0770-32-0461（受付 9:00〜20:00）

## ターゲット顧客（HP導線設計）
- メイン：ロードバイクで訪れるサイクリスト（ゴコイチ・若狭路センチュリーライド）
- メイン：海上釣堀・日向漁港利用の釣り客
- サブ：三方五湖・若狭観光の家族・カップル

## 競合と差別化ポイント
- 直接競合：旅館入舟（日本の小宿2024受賞）、漁場の宿はっとり
- またべゑの優位性：
  - わかさいくる「サイクリストに優しい宿」公式認定
  - 自転車メンテナンス専用多目的ルーム
  - 料金完全透明化
  - 釣り客向けおにぎり朝食対応の明文化
  - 女将自家製へしこ（手仕込み）
  - 夏季限定BBQプラン（1日1組3〜6名様）
  - 貸切家族風呂（シャワー2台）
  - 母娘（次代の女将）2人体制で迎える
  - 支払い：現金・クレジットカード可

## 女将ストーリー（特徴的）
- 良江さん 20歳で京都の電気屋手伝いから日向に嫁ぐ
- 漁師町の言葉に最初は驚いた
- ご主人が漁師、釣り客の要望で民宿開始
- 17年前ご主人他界（享年73歳）→ 「市場で魚仕入れできる」「常連がいる」で継続
- 自家製のへしこ仕込みも継続
- 「おばちゃんおおきに！」が支え
- 次代の女将は息子の嫁、これからはふたりで迎える
